name,vote,cleaned_name,bioguide_id,full_name,last_name,first_name,party,state,normalized_full_name
Alsobrooks (D-MD),Nay,alsobrooks,,,,,,,
Baldwin (D-WI),Nay,baldwin,,,,,,,
Banks (R-IN),Yea,banks,,,,,,,
Barrasso (R-WY),Yea,barrasso,,,,,,,
Bennet (D-CO),Nay,bennet,,,,,,,
Blackburn (R-TN),Yea,blackburn,,,,,,,
Blumenthal (D-CT),Nay,blumenthal,,,,,,,
Blunt Rochester (D-DE),Nay,blunt rochester,,,,,,,
Booker (D-NJ),Nay,booker,,,,,,,
Boozman (R-AR),Yea,boozman,,,,,,,
Britt (R-AL),Yea,britt,,,,,,,
Budd (R-NC),Yea,budd,,,,,,,
Cantwell (D-WA),Nay,cantwell,,,,,,,
Capito (R-WV),Yea,capito,,,,,,,
Cassidy (R-LA),Yea,cassidy,,,,,,,
Collins (R-ME),Nay,collins,,,,,,,
Coons (D-DE),Nay,coons,,,,,,,
Cornyn (R-TX),Yea,cornyn,,,,,,,
Cortez Masto (D-NV),Nay,cortez masto,,,,,,,
Cotton (R-AR),Yea,cotton,,,,,,,
Cramer (R-ND),Yea,cramer,,,,,,,
Crapo (R-ID),Yea,crapo,,,,,,,
Cruz (R-TX),Yea,cruz,,,,,,,
Curtis (R-UT),Yea,curtis,,,,,,,
Daines (R-MT),Yea,daines,,,,,,,
Duckworth (D-IL),Nay,duckworth,,,,,,,
Durbin (D-IL),Nay,durbin,,,,,,,
Ernst (R-IA),Yea,ernst,,,,,,,
Fetterman (D-PA),Nay,fetterman,,,,,,,
Fischer (R-NE),Yea,fischer,,,,,,,
Gallego (D-AZ),Nay,gallego,,,,,,,
Gillibrand (D-NY),Nay,gillibrand,,,,,,,
Graham (R-SC),Yea,graham,,,,,,,
Grassley (R-IA),Yea,grassley,,,,,,,
Hagerty (R-TN),Yea,hagerty,,,,,,,
Hassan (D-NH),Nay,hassan,,,,,,,
Hawley (R-MO),Yea,hawley,,,,,,,
Heinrich (D-NM),Nay,heinrich,,,,,,,
Hickenlooper (D-CO),Nay,hickenlooper,,,,,,,
Hirono (D-HI),Nay,hirono,,,,,,,
Hoeven (R-ND),Yea,hoeven,,,,,,,
Husted (R-OH),Yea,husted,,,,,,,
Hyde-Smith (R-MS),Yea,hyde-smith,,,,,,,
Johnson (R-WI),Yea,johnson,,,,,,,
Justice (R-WV),Yea,justice,,,,,,,
Kaine (D-VA),Nay,kaine,,,,,,,
Kelly (D-AZ),Nay,kelly,,,,,,,
Kennedy (R-LA),Yea,kennedy,,,,,,,
Kim (D-NJ),Nay,kim,,,,,,,
King (I-ME),Nay,king,,,,,,,
Klobuchar (D-MN),Nay,klobuchar,,,,,,,
Lankford (R-OK),Yea,lankford,,,,,,,
Lee (R-UT),Yea,lee,,,,,,,
Lujan (D-NM),Nay,lujan,,,,,,,
Lummis (R-WY),Yea,lummis,,,,,,,
Markey (D-MA),Nay,markey,,,,,,,
Marshall (R-KS),Yea,marshall,,,,,,,
McConnell (R-KY),Nay,mcconnell,,,,,,,
McCormick (R-PA),Yea,mccormick,,,,,,,
Merkley (D-OR),Nay,merkley,,,,,,,
Moody (R-FL),Yea,moody,,,,,,,
Moran (R-KS),Yea,moran,,,,,,,
Moreno (R-OH),Yea,moreno,,,,,,,
Mullin (R-OK),Yea,mullin,,,,,,,
Murkowski (R-AK),Nay,murkowski,,,,,,,
Murphy (D-CT),Nay,murphy,,,,,,,
Murray (D-WA),Nay,murray,,,,,,,
Ossoff (D-GA),Nay,ossoff,,,,,,,
Padilla (D-CA),Nay,padilla,,,,,,,
Paul (R-KY),Yea,paul,,,,,,,
Peters (D-MI),Nay,peters,,,,,,,
Reed (D-RI),Nay,reed,,,,,,,
Ricketts (R-NE),Yea,ricketts,,,,,,,
Risch (R-ID),Yea,risch,,,,,,,
Rosen (D-NV),Nay,rosen,,,,,,,
Rounds (R-SD),Yea,rounds,,,,,,,
Sanders (I-VT),Nay,sanders,,,,,,,
Schatz (D-HI),Nay,schatz,,,,,,,
Schiff (D-CA),Nay,schiff,,,,,,,
Schmitt (R-MO),Yea,schmitt,,,,,,,
Schumer (D-NY),Nay,schumer,,,,,,,
Scott (R-FL),Yea,scott,,,,,,,
Scott (R-SC),Yea,scott,,,,,,,
Shaheen (D-NH),Nay,shaheen,,,,,,,
Sheehy (R-MT),Yea,sheehy,,,,,,,
Slotkin (D-MI),Nay,slotkin,,,,,,,
Smith (D-MN),Nay,smith,,,,,,,
Sullivan (R-AK),Yea,sullivan,,,,,,,
Thune (R-SD),Yea,thune,,,,,,,
Tillis (R-NC),Yea,tillis,,,,,,,
Tuberville (R-AL),Yea,tuberville,,,,,,,
Van Hollen (D-MD),Nay,van hollen,,,,,,,
Warner (D-VA),Nay,warner,,,,,,,
Warnock (D-GA),Nay,warnock,,,,,,,
Warren (D-MA),Nay,warren,,,,,,,
Welch (D-VT),Nay,welch,,,,,,,
Whitehouse (D-RI),Nay,whitehouse,,,,,,,
Wicker (R-MS),Yea,wicker,,,,,,,
Wyden (D-OR),Nay,wyden,,,,,,,
Young (R-IN),Yea,young,,,,,,,
