full_name,vote,id,name,party,state,district,member_id
Carter (LA),Yea,C001125,"Carter, Troy  A.",Democrat,LA,2nd,C001125
Carter (TX),Yea,C001051,"Carter, John  R.",Republican,TX,31st,C001051
Casar,Yea,C001131,"Casar, Greg",Democrat,TX,35th,C001131
Case,Yea,C001055,"Case, Ed",Democrat,HI,1st,C001055
Casten,Yea,C001117,"Casten, Sean",Democrat,IL,6th,C001117
Castor (FL),Yea,C001066,"Castor, Kathy",Democrat,FL,14th,C001066
Castro (TX),Yea,C001091,"Castro, Joaquin",Democrat,TX,20th,C001091
Cherfilus-McCormick,Yea,C001127,"Cherfilus-McCormick, Sheila",Democrat,FL,20th,C001127
Chu,Yea,C001080,"Chu, Judy",Democrat,CA,28th,C001080
Ciscomani,Yea,C001133,"Ciscomani, Juan",Republican,AZ,6th,C001133
Cisneros,Yea,C001123,"Cisneros, Gilbert  Ray
 Jr.",Democrat,CA,31st,C001123
Clark (MA),Yea,C001101,"Clark, Katherine  M.",Democrat,MA,5th,C001101
Clarke (NY),Yea,C001067,"Clarke, Yvette  D.",Democrat,NY,9th,C001067
Cleaver,Yea,C001061,"Cleaver, Emanuel",Democrat,MO,5th,C001061
Cline,Yea,C001118,"Cline, Ben",Republican,VA,6th,C001118
Cloud,Yea,C001115,"Cloud, Michael",Republican,TX,27th,C001115
Clyburn,Yea,C000537,"Clyburn, James  E.",Democrat,SC,6th,C000537
Clyde,Yea,C001116,"Clyde, Andrew  S.",Republican,GA,9th,C001116
Cohen,Yea,C001068,"Cohen, Steve",Democrat,TN,9th,C001068
Cole,Yea,C001053,"Cole, Tom",Republican,OK,4th,C001053
Collins,Yea,C001129,"Collins, Mike",Republican,GA,10th,C001129
Comer,Yea,C001108,"Comer, James",Republican,KY,1st,C001108
Conaway,Yea,C001136,"Conaway, Herbert  C.
 Jr.",Democrat,NJ,3rd,C001136
Connolly,Yea,C001078,"Connolly, Gerald  E.",Democrat,VA,11th,C001078
Correa,Yea,C001110,"Correa, J.  Luis",Democrat,CA,46th,C001110
Costa,Yea,C001059,"Costa, Jim",Democrat,CA,21st,C001059
Courtney,Yea,C001069,"Courtney, Joe",Democrat,CT,2nd,C001069
Craig,Yea,C001119,"Craig, Angie",Democrat,MN,2nd,C001119
Crane,Yea,C001132,"Crane, Elijah",Republican,AZ,2nd,C001132
Crank,Yea,C001137,"Crank, Jeff",Republican,CO,5th,C001137
Crawford,Yea,C001087,"Crawford, Eric  A. ""Rick""",Republican,AR,1st,C001087
Crenshaw,Yea,C001120,"Crenshaw, Dan",Republican,TX,2nd,C001120
Crockett,Yea,C001130,"Crockett, Jasmine",Democrat,TX,30th,C001130
Crow,Yea,C001121,"Crow, Jason",Democrat,CO,6th,C001121
Cuellar,Yea,C001063,"Cuellar, Henry",Democrat,TX,28th,C001063
Davids (KS),Yea,D000629,"Davids, Sharice",Democrat,KS,3rd,D000629
Davidson,Yea,D000626,"Davidson, Warren",Republican,OH,8th,D000626
Davis (IL),Yea,D000096,"Davis, Danny  K.",Democrat,IL,7th,D000096
Davis (NC),Yea,D000230,"Davis, Donald  G.",Democrat,NC,1st,D000230
De La Cruz,Yea,D000594,"De La Cruz, Monica",Republican,TX,15th,D000594
Dean (PA),Yea,D000631,"Dean, Madeleine",Democrat,PA,4th,D000631
DeGette,Yea,D000197,"DeGette, Diana",Democrat,CO,1st,D000197
DeLauro,Yea,D000216,"DeLauro, Rosa  L.",Democrat,CT,3rd,D000216
DelBene,Yea,D000617,"DelBene, Suzan  K.",Democrat,WA,1st,D000617
Deluzio,Yea,D000530,"Deluzio, Christopher  R.",Democrat,PA,17th,D000530
DeSaulnier,Yea,D000623,"DeSaulnier, Mark",Democrat,CA,10th,D000623
DesJarlais,Yea,D000616,"DesJarlais, Scott",Republican,TN,4th,D000616
Dexter,Yea,D000635,"Dexter, Maxine",Democrat,OR,3rd,D000635
Diaz-Balart,Yea,D000600,"Diaz-Balart, Mario",Republican,FL,26th,D000600
Dingell,Yea,D000624,"Dingell, Debbie",Democrat,MI,6th,D000624
Doggett,Yea,D000399,"Doggett, Lloyd",Democrat,TX,37th,D000399
Donalds,Yea,D000032,"Donalds, Byron",Republican,FL,19th,D000032
Downing,Yea,D000634,"Downing, Troy",Republican,MT,2nd,D000634
Dunn (FL),Yea,D000628,"Dunn, Neal  P.",Republican,FL,2nd,D000628
Edwards,Yea,E000246,"Edwards, Chuck",Republican,NC,11th,E000246
Elfreth,Yea,E000301,"Elfreth, Sarah",Democrat,MD,3rd,E000301
Ellzey,Yea,E000071,"Ellzey, Jake",Republican,TX,6th,E000071
Emmer,Yea,E000294,"Emmer, Tom",Republican,MN,6th,E000294
Escobar,Yea,E000299,"Escobar, Veronica",Democrat,TX,16th,E000299
Espaillat,Yea,E000297,"Espaillat, Adriano",Democrat,NY,13th,E000297
Estes,Yea,E000298,"Estes, Ron",Republican,KS,4th,E000298
Evans (CO),Yea,E000300,"Evans, Gabe",Republican,CO,8th,E000300
Evans (PA),Yea,E000296,"Evans, Dwight",Democrat,PA,3rd,E000296
Ezell,Yea,E000235,"Ezell, Mike",Republican,MS,4th,E000235
Fallon,Yea,F000246,"Fallon, Pat",Republican,TX,4th,F000246
Fedorchak,Yea,F000482,"Fedorchak, Julie",Republican,ND,At Large,F000482
Feenstra,Yea,F000446,"Feenstra, Randy",Republican,IA,4th,F000446
Fields,Yea,F000110,"Fields, Cleo",Democrat,LA,6th,F000110
Figures,Yea,F000481,"Figures, Shomari",Democrat,AL,2nd,F000481
Finstad,Yea,F000475,"Finstad, Brad",Republican,MN,1st,F000475
Fischbach,Yea,F000470,"Fischbach, Michelle",Republican,MN,7th,F000470
Fitzgerald,Yea,F000471,"Fitzgerald, Scott",Republican,WI,5th,F000471
Fitzpatrick,Yea,F000466,"Fitzpatrick, Brian  K.",Republican,PA,1st,F000466
Fleischmann,Yea,F000459,"Fleischmann, Charles  J. ""Chuck""",Republican,TN,3rd,F000459
Fletcher,Yea,F000468,"Fletcher, Lizzie",Democrat,TX,7th,F000468
Flood,Yea,F000474,"Flood, Mike",Republican,NE,1st,F000474
Fong,Yea,F000480,"Fong, Vince",Republican,CA,20th,F000480
Foster,Yea,F000454,"Foster, Bill",Democrat,IL,11th,F000454
Foushee,Yea,F000477,"Foushee, Valerie  P.",Democrat,NC,4th,F000477
Foxx,Yea,F000450,"Foxx, Virginia",Republican,NC,5th,F000450
"Frankel, Lois",Yea,F000462,"Frankel, Lois",Democrat,FL,22nd,F000462
"Franklin, Scott",Yea,F000472,"Franklin, Scott",Republican,FL,18th,F000472
Friedman,Yea,F000483,"Friedman, Laura",Democrat,CA,30th,F000483
Frost,Yea,F000476,"Frost, Maxwell",Democrat,FL,10th,F000476
Fry,Yea,F000478,"Fry, Russell",Republican,SC,7th,F000478
Fulcher,Yea,F000469,"Fulcher, Russ",Republican,ID,1st,F000469
Garamendi,Yea,G000559,"Garamendi, John",Democrat,CA,8th,G000559
Garbarino,Yea,G000597,"Garbarino, Andrew  R.",Republican,NY,2nd,G000597
Garcia (CA),Yea,G000598,"Garcia, Robert",Democrat,CA,42nd,G000598
García (IL),Yea,G000586,"García, Jesús  G. ""Chuy""",Democrat,IL,4th,G000586
Garcia (TX),Yea,G000587,"Garcia, Sylvia  R.",Democrat,TX,29th,G000587
Gill (TX),Yea,G000603,"Gill, Brandon",Republican,TX,26th,G000603
Gillen,Yea,G000602,"Gillen, Laura",Democrat,NY,4th,G000602
Gimenez,Yea,G000593,"Gimenez, Carlos  A.",Republican,FL,28th,G000593
Golden (ME),Yea,G000592,"Golden, Jared  F.",Democrat,ME,2nd,G000592
Goldman (NY),Yea,G000599,"Goldman, Daniel  S.",Democrat,NY,10th,G000599
Goldman (TX),Yea,G000601,"Goldman, Craig  A.",Republican,TX,12th,G000601
Gomez,Yea,G000585,"Gomez, Jimmy",Democrat,CA,34th,G000585
"Gonzales, Tony",Yea,G000594,"Gonzales, Tony",Republican,TX,23rd,G000594
"Gonzalez, V.",Yea,G000581,"Gonzalez, Vicente",Democrat,TX,34th,G000581
Gooden,Yea,G000589,"Gooden, Lance",Republican,TX,5th,G000589
Goodlander,Yea,G000604,"Goodlander, Maggie",Democrat,NH,2nd,G000604
Gosar,Yea,G000565,"Gosar, Paul  A.",Republican,AZ,9th,G000565
Gottheimer,Not Voting,G000583,"Gottheimer, Josh",Democrat,NJ,5th,G000583
Graves,Yea,G000546,"Graves, Sam",Republican,MO,6th,G000546
Gray,Yea,G000605,"Gray, Adam",Democrat,CA,13th,G000605
Green (TN),Yea,G000590,"Green, Mark  E.",Republican,TN,7th,G000590
"Green, Al (TX)",Yea,G000553,"Green, Al",Democrat,TX,9th,G000553
Greene (GA),Yea,G000596,"Greene, Marjorie  Taylor",Republican,GA,14th,G000596
Griffith,Yea,G000568,"Griffith, H.  Morgan",Republican,VA,9th,G000568
Grijalva,Not Voting,G000551,"Grijalva, Raúl  M.",Democrat,AZ,7th,G000551
Grothman,Yea,G000576,"Grothman, Glenn",Republican,WI,6th,G000576
Guest,Yea,G000591,"Guest, Michael",Republican,MS,3rd,G000591
Guthrie,Yea,G000558,"Guthrie, Brett",Republican,KY,2nd,G000558
Hageman,Yea,H001096,"Hageman, Harriet  M.",Republican,WY,At Large,H001096
Hamadeh (AZ),Yea,H001098,"Hamadeh, Abraham  J.",Republican,AZ,8th,H001098
Harder (CA),Yea,H001090,"Harder, Josh",Democrat,CA,9th,H001090
Haridopolos,Yea,H001099,"Haridopolos, Mike",Republican,FL,8th,H001099
Harrigan,Yea,H001101,"Harrigan, Pat",Republican,NC,10th,H001101
Harris (MD),Yea,H001052,"Harris, Andy",Republican,MD,1st,H001052
Harris (NC),Yea,H001102,"Harris, Mark",Republican,NC,8th,H001102
Harshbarger,Yea,H001086,"Harshbarger, Diana",Republican,TN,1st,H001086
Hayes,Yea,H001081,"Hayes, Jahana",Democrat,CT,5th,H001081
Hern (OK),Yea,H001082,"Hern, Kevin",Republican,OK,1st,H001082
Higgins (LA),Yea,H001077,"Higgins, Clay",Republican,LA,3rd,H001077
Hill (AR),Yea,H001072,"Hill, J.  French",Republican,AR,2nd,H001072
Himes,Yea,H001047,"Himes, James  A.",Democrat,CT,4th,H001047
Hinson,Yea,H001091,"Hinson, Ashley",Republican,IA,2nd,H001091
Horsford,Yea,H001066,"Horsford, Steven",Democrat,NV,4th,H001066
Houchin,Yea,H001093,"Houchin, Erin",Republican,IN,9th,H001093
Houlahan,Yea,H001085,"Houlahan, Chrissy",Democrat,PA,6th,H001085
Hoyer,Yea,H000874,"Hoyer, Steny  H.",Democrat,MD,5th,H000874
Hoyle (OR),Yea,H001094,"Hoyle, Val  T.",Democrat,OR,4th,H001094
Hudson,Yea,H001067,"Hudson, Richard",Republican,NC,9th,H001067
Huffman,Yea,H001068,"Huffman, Jared",Democrat,CA,2nd,H001068
Huizenga,Yea,H001058,"Huizenga, Bill",Republican,MI,4th,H001058
Hunt,Yea,H001095,"Hunt, Wesley",Republican,TX,38th,H001095
Hurd (CO),Yea,H001100,"Hurd, Jeff",Republican,CO,3rd,H001100
Issa,Yea,I000056,"Issa, Darrell",Republican,CA,48th,I000056
Ivey,Yea,I000058,"Ivey, Glenn",Democrat,MD,4th,I000058
Jack,Yea,J000311,"Jack, Brian",Republican,GA,3rd,J000311
Jackson (IL),Yea,J000309,"Jackson, Jonathan  L.",Democrat,IL,1st,J000309
Jackson (TX),Yea,J000304,"Jackson, Ronny",Republican,TX,13th,J000304
Jacobs,Yea,J000305,"Jacobs, Sara",Democrat,CA,51st,J000305
James,Yea,J000307,"James, John",Republican,MI,10th,J000307
Jayapal,Yea,J000298,"Jayapal, Pramila",Democrat,WA,7th,J000298
Jeffries,Yea,J000294,"Jeffries, Hakeem  S.",Democrat,NY,8th,J000294
Johnson (GA),Yea,J000288,"Johnson, Henry  C. ""Hank""
 Jr.",Democrat,GA,4th,J000288
Johnson (SD),Yea,J000301,"Johnson, Dusty",Republican,SD,At Large,J000301
Johnson (TX),Yea,J000310,"Johnson, Julie",Democrat,TX,32nd,J000310
Jordan,Yea,J000289,"Jordan, Jim",Republican,OH,4th,J000289
Joyce (OH),Yea,J000295,"Joyce, David  P.",Republican,OH,14th,J000295
Joyce (PA),Yea,J000302,"Joyce, John",Republican,PA,13th,J000302
Kamlager-Dove,Yea,K000400,"Kamlager-Dove, Sydney",Democrat,CA,37th,K000400
Kaptur,Yea,K000009,"Kaptur, Marcy",Democrat,OH,9th,K000009
Kean,Yea,K000398,"Kean, Thomas  H.
 Jr.",Republican,NJ,7th,K000398
Keating,Yea,K000375,"Keating, William  R.",Democrat,MA,9th,K000375
Kelly (IL),Yea,K000385,"Kelly, Robin  L.",Democrat,IL,2nd,K000385
Kelly (MS),Yea,K000388,"Kelly, Trent",Republican,MS,1st,K000388
Kelly (PA),Yea,K000376,"Kelly, Mike",Republican,PA,16th,K000376
Kennedy (NY),Yea,K000402,"Kennedy, Timothy  M.",Democrat,NY,26th,K000402
Kennedy (UT),Yea,K000403,"Kennedy, Mike",Republican,UT,3rd,K000403
Khanna,Yea,K000389,"Khanna, Ro",Democrat,CA,17th,K000389
Kiggans (VA),Yea,K000399,"Kiggans, Jennifer  A.",Republican,VA,2nd,K000399
Kiley (CA),Yea,K000401,"Kiley, Kevin",Republican,CA,3rd,K000401
Kim,Yea,K000397,"Kim, Young",Republican,CA,40th,K000397
Knott,Yea,K000405,"Knott, Brad",Republican,NC,13th,K000405
Krishnamoorthi,Yea,K000391,"Krishnamoorthi, Raja",Democrat,IL,8th,K000391
Kustoff,Yea,K000392,"Kustoff, David",Republican,TN,8th,K000392
LaHood,Yea,L000585,"LaHood, Darin",Republican,IL,16th,L000585
LaLota,Yea,L000598,"LaLota, Nick",Republican,NY,1st,L000598
LaMalfa,Yea,L000578,"LaMalfa, Doug",Republican,CA,1st,L000578
Landsman,Yea,L000601,"Landsman, Greg",Democrat,OH,1st,L000601
Langworthy,Yea,L000600,"Langworthy, Nicholas  A.",Republican,NY,23rd,L000600
Larsen (WA),Yea,L000560,"Larsen, Rick",Democrat,WA,2nd,L000560
Larson (CT),Yea,L000557,"Larson, John  B.",Democrat,CT,1st,L000557
Latimer,Yea,L000606,"Latimer, George",Democrat,NY,16th,L000606
Latta,Yea,L000566,"Latta, Robert  E.",Republican,OH,5th,L000566
Lawler,Yea,L000599,"Lawler, Michael",Republican,NY,17th,L000599
Lee (FL),Yea,L000597,"Lee, Laurel  M.",Republican,FL,15th,L000597
Lee (NV),Yea,L000590,"Lee, Susie",Democrat,NV,3rd,L000590
Lee (PA),Yea,L000602,"Lee, Summer  L.",Democrat,PA,12th,L000602
Leger Fernandez,Yea,L000273,"Leger Fernandez, Teresa",Democrat,NM,3rd,L000273
Letlow,Yea,L000595,"Letlow, Julia",Republican,LA,5th,L000595
Levin,Yea,L000593,"Levin, Mike",Democrat,CA,49th,L000593
Liccardo,Yea,L000607,"Liccardo, Sam  T.",Democrat,CA,16th,L000607
Lieu,Yea,L000582,"Lieu, Ted",Democrat,CA,36th,L000582
Lofgren,Yea,L000397,"Lofgren, Zoe",Democrat,CA,18th,L000397
Loudermilk,Yea,L000583,"Loudermilk, Barry",Republican,GA,11th,L000583
Lucas,Yea,L000491,"Lucas, Frank  D.",Republican,OK,3rd,L000491
Luna,Yea,L000596,"Luna, Anna Paulina",Republican,FL,13th,L000596
Luttrell,Yea,L000603,"Luttrell, Morgan",Republican,TX,8th,L000603
Lynch,Yea,L000562,"Lynch, Stephen  F.",Democrat,MA,8th,L000562
Mace,Yea,M000194,"Mace, Nancy",Republican,SC,1st,M000194
Mackenzie,Yea,M001230,"Mackenzie, Ryan",Republican,PA,7th,M001230
Magaziner,Yea,M001223,"Magaziner, Seth",Democrat,RI,2nd,M001223
Malliotakis,Yea,M000317,"Malliotakis, Nicole",Republican,NY,11th,M000317
Maloy,Yea,M001228,"Maloy, Celeste",Republican,UT,2nd,M001228
Mann,Yea,M000871,"Mann, Tracey",Republican,KS,1st,M000871
Mannion,Yea,M001231,"Mannion, John  W.",Democrat,NY,22nd,M001231
Massie,Nay,M001184,"Massie, Thomas",Republican,KY,4th,M001184
Mast,Yea,M001199,"Mast, Brian  J.",Republican,FL,21st,M001199
Matsui,Yea,M001163,"Matsui, Doris  O.",Democrat,CA,7th,M001163
McBath,Yea,M001208,"McBath, Lucy",Democrat,GA,6th,M001208
McBride,Yea,M001238,"McBride, Sarah",Democrat,DE,At Large,M001238
McCaul,Yea,M001157,"McCaul, Michael  T.",Republican,TX,10th,M001157
McClain,Not Voting,M001136,"McClain, Lisa  C.",Republican,MI,9th,M001136
McClain Delaney,Yea,M001232,"McClain Delaney, April",Democrat,MD,6th,M001232
McClellan,Yea,M001227,"McClellan, Jennifer  L.",Democrat,VA,4th,M001227
McClintock,Yea,M001177,"McClintock, Tom",Republican,CA,5th,M001177
McCollum,Yea,M001143,"McCollum, Betty",Democrat,MN,4th,M001143
McCormick,Yea,M001218,"McCormick, Richard",Republican,GA,7th,M001218
McDonald Rivet,Yea,M001237,"McDonald Rivet, Kristen",Democrat,MI,8th,M001237
McDowell,Yea,M001240,"McDowell, Addison  P.",Republican,NC,6th,M001240
McGarvey,Yea,M001220,"McGarvey, Morgan",Democrat,KY,3rd,M001220
McGovern,Yea,M000312,"McGovern, James  P.",Democrat,MA,2nd,M000312
McGuire,Yea,M001239,"McGuire, John  J.
 III",Republican,VA,5th,M001239
McIver,Yea,M001229,"McIver, LaMonica",Democrat,NJ,10th,M001229
Meeks,Yea,M001137,"Meeks, Gregory  W.",Democrat,NY,5th,M001137
Menendez,Yea,M001226,"Menendez, Robert",Democrat,NJ,8th,M001226
Meng,Yea,M001188,"Meng, Grace",Democrat,NY,6th,M001188
Messmer,Yea,M001233,"Messmer, Mark  B.",Republican,IN,8th,M001233
Meuser,Yea,M001204,"Meuser, Daniel",Republican,PA,9th,M001204
Mfume,Yea,M000687,"Mfume, Kweisi",Democrat,MD,7th,M000687
Miller (IL),Yea,M001211,"Miller, Mary  E.",Republican,IL,15th,M001211
Miller (OH),Yea,M001222,"Miller, Max  L.",Republican,OH,7th,M001222
Miller (WV),Yea,M001205,"Miller, Carol  D.",Republican,WV,1st,M001205
Miller-Meeks,Yea,M001215,"Miller-Meeks, Mariannette",Republican,IA,1st,M001215
Mills,Yea,M001216,"Mills, Cory",Republican,FL,7th,M001216
Min,Yea,M001241,"Min, Dave",Democrat,CA,47th,M001241
Moolenaar,Yea,M001194,"Moolenaar, John  R.",Republican,MI,2nd,M001194
Moore (AL),Yea,M001212,"Moore, Barry",Republican,AL,1st,M001212
Moore (NC),Yea,M001236,"Moore, Tim",Republican,NC,14th,M001236
Moore (UT),Yea,M001213,"Moore, Blake  D.",Republican,UT,1st,M001213
Moore (WI),Yea,M001160,"Moore, Gwen",Democrat,WI,4th,M001160
Moore (WV),Yea,M001235,"Moore, Riley  M.",Republican,WV,2nd,M001235
Moran,Yea,M001224,"Moran, Nathaniel",Republican,TX,1st,M001224
Morelle,Yea,M001206,"Morelle, Joseph  D.",Democrat,NY,25th,M001206
Morrison,Yea,M001234,"Morrison, Kelly",Democrat,MN,3rd,M001234
Moskowitz,Yea,M001217,"Moskowitz, Jared",Democrat,FL,23rd,M001217
Moulton,Yea,M001196,"Moulton, Seth",Democrat,MA,6th,M001196
Mrvan,Yea,M001214,"Mrvan, Frank  J.",Democrat,IN,1st,M001214
Mullin,Yea,M001225,"Mullin, Kevin",Democrat,CA,15th,M001225
Murphy,Yea,M001210,"Murphy, Gregory  F.",Republican,NC,3rd,M001210
Nadler,Yea,N000002,"Nadler, Jerrold",Democrat,NY,12th,N000002
Neal,Yea,N000015,"Neal, Richard  E.",Democrat,MA,1st,N000015
Neguse,Yea,N000191,"Neguse, Joe",Democrat,CO,2nd,N000191
Nehls,Yea,N000026,"Nehls, Troy  E.",Republican,TX,22nd,N000026
Newhouse,Yea,N000189,"Newhouse, Dan",Republican,WA,4th,N000189
Norcross,Yea,N000188,"Norcross, Donald",Democrat,NJ,1st,N000188
Norman,Yea,N000190,"Norman, Ralph",Republican,SC,5th,N000190
Nunn (IA),Yea,N000193,"Nunn, Zachary",Republican,IA,3rd,N000193
Obernolte,Yea,O000019,"Obernolte, Jay",Republican,CA,23rd,O000019
Ocasio-Cortez,Yea,O000172,"Ocasio-Cortez, Alexandria",Democrat,NY,14th,O000172
Ogles,Yea,O000175,"Ogles, Andrew",Republican,TN,5th,O000175
Olszewski,Yea,O000176,"Olszewski, Johnny  
 Jr.",Democrat,MD,2nd,O000176
Omar,Yea,O000173,"Omar, Ilhan",Democrat,MN,5th,O000173
Onder,Yea,O000177,"Onder, Robert  F.
 Jr.",Republican,MO,3rd,O000177
Owens,Yea,O000086,"Owens, Burgess",Republican,UT,4th,O000086
Pallone,Yea,P000034,"Pallone, Frank  
 Jr.",Democrat,NJ,6th,P000034
Palmer,Yea,P000609,"Palmer, Gary  J.",Republican,AL,6th,P000609
Panetta,Yea,P000613,"Panetta, Jimmy",Democrat,CA,19th,P000613
Pappas,Yea,P000614,"Pappas, Chris",Democrat,NH,1st,P000614
Pelosi,Not Voting,P000197,"Pelosi, Nancy",Democrat,CA,11th,P000197
Perez,Yea,G000600,"Perez, Marie  Gluesenkamp",Democrat,WA,3rd,G000600
Perry,Yea,P000605,"Perry, Scott",Republican,PA,10th,P000605
Peters,Yea,P000608,"Peters, Scott  H.",Democrat,CA,50th,P000608
Pettersen,Not Voting,P000620,"Pettersen, Brittany",Democrat,CO,7th,P000620
Pfluger,Yea,P000048,"Pfluger, August",Republican,TX,11th,P000048
Pingree,Yea,P000597,"Pingree, Chellie",Democrat,ME,1st,P000597
Pocan,Yea,P000607,"Pocan, Mark",Democrat,WI,2nd,P000607
Pou,Yea,P000621,"Pou, Nellie",Democrat,NJ,9th,P000621
Pressley,Yea,P000617,"Pressley, Ayanna",Democrat,MA,7th,P000617
Quigley,Yea,Q000023,"Quigley, Mike",Democrat,IL,5th,Q000023
Ramirez,Yea,R000617,"Ramirez, Delia  C.",Democrat,IL,3rd,R000617
Randall,Yea,R000621,"Randall, Emily",Democrat,WA,6th,R000621
Raskin,Yea,R000606,"Raskin, Jamie",Democrat,MD,8th,R000606
Reschenthaler,Yea,R000610,"Reschenthaler, Guy",Republican,PA,14th,R000610
Riley (NY),Yea,R000622,"Riley, Josh",Democrat,NY,19th,R000622
Rivas,Yea,R000620,"Rivas, Luz  M.",Democrat,CA,29th,R000620
Rogers (AL),Yea,R000575,"Rogers, Mike",Republican,AL,3rd,R000575
Rogers (KY),Yea,R000395,"Rogers, Harold",Republican,KY,5th,R000395
Rose,Yea,R000612,"Rose, John  W.",Republican,TN,6th,R000612
Ross,Yea,R000305,"Ross, Deborah  K.",Democrat,NC,2nd,R000305
Rouzer,Yea,R000603,"Rouzer, David",Republican,NC,7th,R000603
Roy,Yea,R000614,"Roy, Chip",Republican,TX,21st,R000614
Ruiz,Yea,R000599,"Ruiz, Raul",Democrat,CA,25th,R000599
Rulli,Yea,R000619,"Rulli, Michael  A.",Republican,OH,6th,R000619
Rutherford,Yea,R000609,"Rutherford, John  H.",Republican,FL,5th,R000609
Ryan,Yea,R000579,"Ryan, Patrick",Democrat,NY,18th,R000579
Salazar,Yea,S000168,"Salazar, Maria  Elvira",Republican,FL,27th,S000168
Salinas,Yea,S001226,"Salinas, Andrea",Democrat,OR,6th,S001226
Sánchez,Yea,S001156,"Sánchez, Linda  T.",Democrat,CA,38th,S001156
Scalise,Not Voting,S001176,"Scalise, Steve",Republican,LA,1st,S001176
Scanlon,Yea,S001205,"Scanlon, Mary Gay",Democrat,PA,5th,S001205
