full_name,vote,id,name,party,state,district,member_id
Adams,Yea,A000370,"Adams, Alma  S.",Democrat,NC,12th,A000370
Aderholt,Yea,A000055,"Aderholt, Robert  B.",Republican,AL,4th,A000055
Aguilar,Yea,A000371,"Aguilar, Pete",Democrat,CA,33rd,A000371
Alford,Yea,A000379,"Alford, Mark",Republican,MO,4th,A000379
Allen,Yea,A000372,"Allen, Rick  W.",Republican,GA,12th,A000372
Amo,Yea,A000380,"Amo, Gabe",Democrat,RI,1st,A000380
Amodei (NV),Yea,A000369,"Amodei, Mark  E.",Republican,NV,2nd,A000369
Ansari,Yea,A000381,"Ansari, Yassamin",Democrat,AZ,3rd,A000381
Arrington,Yea,A000375,"Arrington, Jodey  C.",Republican,TX,19th,A000375
Auchincloss,Yea,A000148,"Auchincloss, Jake",Democrat,MA,4th,A000148
Babin,Yea,B001291,"Babin, Brian",Republican,TX,36th,B001291
Bacon,Yea,B001298,"Bacon, Don",Republican,NE,2nd,B001298
Baird,Yea,B001307,"Baird, James  R.",Republican,IN,4th,B001307
Balderson,Yea,B001306,"Balderson, Troy",Republican,OH,12th,B001306
Balint,Yea,B001318,"Balint, Becca",Democrat,VT,At Large,B001318
Barr,Yea,B001282,"Barr, Andy",Republican,KY,6th,B001282
Barragán,Yea,B001300,"Barragán, Nanette  Diaz",Democrat,CA,44th,B001300
Barrett,Yea,B001321,"Barrett, Tom",Republican,MI,7th,B001321
Baumgartner,Yea,B001322,"Baumgartner, Michael",Republican,WA,5th,B001322
Bean (FL),Yea,B001314,"Bean, Aaron",Republican,FL,4th,B001314
Beatty,Yea,B001281,"Beatty, Joyce",Democrat,OH,3rd,B001281
Begich,Yea,B001323,"Begich, Nicholas  J.
 III",Republican,AK,At Large,B001323
Bell,Yea,B001324,"Bell, Wesley",Democrat,MO,1st,B001324
Bentz,Yea,B000668,"Bentz, Cliff",Republican,OR,2nd,B000668
Bera,Yea,B001287,"Bera, Ami",Democrat,CA,6th,B001287
Bergman,Yea,B001301,"Bergman, Jack",Republican,MI,1st,B001301
Beyer,Yea,B001292,"Beyer, Donald  S.
 Jr.",Democrat,VA,8th,B001292
Bice,Yea,B000740,"Bice, Stephanie  I.",Republican,OK,5th,B000740
Biggs (AZ),Yea,B001302,"Biggs, Andy",Republican,AZ,5th,B001302
Biggs (SC),Yea,B001325,"Biggs, Sheri",Republican,SC,3rd,B001325
Bilirakis,Yea,B001257,"Bilirakis, Gus  M.",Republican,FL,12th,B001257
Bishop,Yea,B000490,"Bishop, Sanford  D.
 Jr.",Democrat,GA,2nd,B000490
Boebert,Yea,B000825,"Boebert, Lauren",Republican,CO,4th,B000825
Bonamici,Yea,B001278,"Bonamici, Suzanne",Democrat,OR,1st,B001278
Bost,Yea,B001295,"Bost, Mike",Republican,IL,12th,B001295
Boyle (PA),Yea,B001296,"Boyle, Brendan  F.",Democrat,PA,2nd,B001296
Brecheen,Yea,B001317,"Brecheen, Josh",Republican,OK,2nd,B001317
Bresnahan,Yea,B001327,"Bresnahan, Robert  P.
 Jr.",Republican,PA,8th,B001327
Brown,Yea,B001313,"Brown, Shontel  M.",Democrat,OH,11th,B001313
Brownley,Yea,B001285,"Brownley, Julia",Democrat,CA,26th,B001285
Buchanan,Yea,B001260,"Buchanan, Vern",Republican,FL,16th,B001260
Budzinski,Yea,B001315,"Budzinski, Nikki",Democrat,IL,13th,B001315
Burchett,Yea,B001309,"Burchett, Tim",Republican,TN,2nd,B001309
Burlison,Yea,B001316,"Burlison, Eric",Republican,MO,7th,B001316
Bynum,Yea,B001326,"Bynum, Janelle  S.",Democrat,OR,5th,B001326
Calvert,Yea,C000059,"Calvert, Ken",Republican,CA,41st,C000059
Cammack,Yea,C001039,"Cammack, Kat",Republican,FL,3rd,C001039
Carbajal,Yea,C001112,"Carbajal, Salud  O.",Democrat,CA,24th,C001112
Carey,Yea,C001126,"Carey, Mike",Republican,OH,15th,C001126
Carson,Yea,C001072,"Carson, André",Democrat,IN,7th,C001072
Carter (GA),Yea,C001103,"Carter, Earl  L. ""Buddy""",Republican,GA,1st,C001103
