Name,Representative,State,District,Party,Vote
Adams,"Adams, Alma  S.",North Carolina,12th,D,Yes
Aderholt,"Aderholt, Robert  B.",Alabama,4th,R,Yes
Aguilar,"Aguilar, Pete",California,33rd,D,Yes
Alford,"Alford, Mark",Missouri,4th,R,Yes
Allen,"Allen, Rick  W.",Georgia,12th,R,Yes
Amo,"Amo, Gabe",Rhode Island,1st,D,Yes
Amodei (NV),"Amodei, Mark  E.",Nevada,2nd,R,Yes
Ansari,"Ansari, Yassamin",Arizona,3rd,D,Yes
Arrington,"Arrington, Jodey  C.",Texas,19th,R,Yes
Auchincloss,"Auchincloss, Jake",Massachusetts,4th,D,Yes
Babin,"Babin, Brian",Texas,36th,R,Yes
Bacon,"Bacon, Don",Nebraska,2nd,R,Yes
Baird,"Baird, James  R.",Indiana,4th,R,Yes
Balderson,"Balderson, Troy",Ohio,12th,R,Yes
Balint,"Balint, Becca",Vermont,At Large,D,Yes
Barr,"Barr, Andy",Kentucky,6th,R,Yes
Barragán,"Barragán, Nanette  Diaz",California,44th,D,Yes
Barrett,"Barrett, Tom",Michigan,7th,R,Yes
Baumgartner,"Baumgartner, Michael",Washington,5th,R,Yes
Bean (FL),"Bean, Aaron",Florida,4th,R,Yes
Beatty,"Beatty, Joyce",Ohio,3rd,D,Yes
Begich,"Begich, Nicholas  J.
 III",Alaska,At Large,R,Yes
Bell,"Bell, Wesley",Missouri,1st,D,Yes
Bentz,"Bentz, Cliff",Oregon,2nd,R,Yes
Bera,"Bera, Ami",California,6th,D,Yes
Bergman,"Bergman, Jack",Michigan,1st,R,Yes
Beyer,"Beyer, Donald  S.
 Jr.",Virginia,8th,D,Yes
Bice,"Bice, Stephanie  I.",Oklahoma,5th,R,Yes
Biggs (AZ),"Biggs, Andy",Arizona,5th,R,Yes
Biggs (SC),"Biggs, Sheri",South Carolina,3rd,R,Yes
Bilirakis,"Bilirakis, Gus  M.",Florida,12th,R,Yes
Bishop,"Bishop, Sanford  D.
 Jr.",Georgia,2nd,D,Yes
Boebert,"Boebert, Lauren",Colorado,4th,R,Yes
Bonamici,"Bonamici, Suzanne",Oregon,1st,D,Yes
Bost,"Bost, Mike",Illinois,12th,R,Yes
Boyle (PA),"Boyle, Brendan  F.",Pennsylvania,2nd,D,Yes
Brecheen,"Brecheen, Josh",Oklahoma,2nd,R,Yes
Bresnahan,"Bresnahan, Robert  P.
 Jr.",Pennsylvania,8th,R,Yes
Brown,"Brown, Shontel  M.",Ohio,11th,D,Yes
Brownley,"Brownley, Julia",California,26th,D,Yes
Buchanan,"Buchanan, Vern",Florida,16th,R,Yes
Budzinski,"Budzinski, Nikki",Illinois,13th,D,Yes
Burchett,"Burchett, Tim",Tennessee,2nd,R,Yes
Burlison,"Burlison, Eric",Missouri,7th,R,Yes
Bynum,"Bynum, Janelle  S.",Oregon,5th,D,Yes
Calvert,"Calvert, Ken",California,41st,R,Yes
Cammack,"Cammack, Kat",Florida,3rd,R,Yes
Carbajal,"Carbajal, Salud  O.",California,24th,D,Yes
Carey,"Carey, Mike",Ohio,15th,R,Yes
Carson,"Carson, André",Indiana,7th,D,Yes
Carter (GA),"Carter, Earl  L. ""Buddy""",Georgia,1st,R,Yes
Carter (LA),"Carter, Troy  A.",Louisiana,2nd,D,Yes
Carter (TX),"Carter, John  R.",Texas,31st,R,Yes
Casar,"Casar, Greg",Texas,35th,D,Yes
Case,"Case, Ed",Hawaii,1st,D,Yes
Casten,"Casten, Sean",Illinois,6th,D,Yes
Castor (FL),"Castor, Kathy",Florida,14th,D,Yes
Castro (TX),"Castro, Joaquin",Texas,20th,D,Yes
Cherfilus-McCormick,"Cherfilus-McCormick, Sheila",Florida,20th,D,Yes
Chu,"Chu, Judy",California,28th,D,Yes
Ciscomani,"Ciscomani, Juan",Arizona,6th,R,Yes
Cisneros,"Cisneros, Gilbert  Ray
 Jr.",California,31st,D,Yes
Clark (MA),"Clark, Katherine  M.",Massachusetts,5th,D,Yes
Clarke (NY),"Clarke, Yvette  D.",New York,9th,D,Yes
Cleaver,"Cleaver, Emanuel",Missouri,5th,D,Yes
Cline,"Cline, Ben",Virginia,6th,R,Yes
Cloud,"Cloud, Michael",Texas,27th,R,Yes
Clyburn,"Clyburn, James  E.",South Carolina,6th,D,Yes
Clyde,"Clyde, Andrew  S.",Georgia,9th,R,Yes
Cohen,"Cohen, Steve",Tennessee,9th,D,Yes
Cole,"Cole, Tom",Oklahoma,4th,R,Yes
Collins,"Collins, Mike",Georgia,10th,R,Yes
Comer,"Comer, James",Kentucky,1st,R,Yes
Conaway,"Conaway, Herbert  C.
 Jr.",New Jersey,3rd,D,Yes
Connolly,"Connolly, Gerald  E.",Virginia,11th,D,Yes
Correa,"Correa, J.  Luis",California,46th,D,Yes
Costa,"Costa, Jim",California,21st,D,Yes
Courtney,"Courtney, Joe",Connecticut,2nd,D,Yes
Craig,"Craig, Angie",Minnesota,2nd,D,Yes
Crane,"Crane, Elijah",Arizona,2nd,R,Yes
Crank,"Crank, Jeff",Colorado,5th,R,Yes
Crawford,"Crawford, Eric  A. ""Rick""",Arkansas,1st,R,Yes
Crenshaw,"Crenshaw, Dan",Texas,2nd,R,Yes
Crockett,"Crockett, Jasmine",Texas,30th,D,Yes
Crow,"Crow, Jason",Colorado,6th,D,Yes
Cuellar,"Cuellar, Henry",Texas,28th,D,Yes
Davids (KS),"Davids, Sharice",Kansas,3rd,D,Yes
Davidson,"Davidson, Warren",Ohio,8th,R,Yes
Davis (IL),"Davis, Danny  K.",Illinois,7th,D,Yes
Davis (NC),"Davis, Donald  G.",North Carolina,1st,D,Yes
De La Cruz,"De La Cruz, Monica",Texas,15th,R,Yes
Dean (PA),"Dean, Madeleine",Pennsylvania,4th,D,Yes
DeGette,"DeGette, Diana",Colorado,1st,D,Yes
