Name,Representative,State,District,Party,Vote
DeLauro,"DeLauro, Rosa  L.",Connecticut,3rd,D,Yes
DelBene,"DelBene, Suzan  K.",Washington,1st,D,Yes
Deluzio,"Deluzio, Christopher  R.",Pennsylvania,17th,D,Yes
DeSaulnier,"DeSaulnier, Mark",California,10th,D,Yes
DesJarlais,"DesJarlais, Scott",Tennessee,4th,R,Yes
Dexter,"Dexter, Maxine",Oregon,3rd,D,Yes
Diaz-Balart,"Diaz-Balart, Mario",Florida,26th,R,Yes
Dingell,"Dingell, Debbie",Michigan,6th,D,Yes
Doggett,"Doggett, Lloyd",Texas,37th,D,Yes
Donalds,"Donalds, Byron",Florida,19th,R,Yes
Downing,"Downing, Troy",Montana,2nd,R,Yes
Dunn (FL),"Dunn, Neal  P.",Florida,2nd,R,Yes
Edwards,"Edwards, Chuck",North Carolina,11th,R,Yes
Elfreth,"Elfreth, Sarah",Maryland,3rd,D,Yes
Ellzey,"Ellzey, Jake",Texas,6th,R,Yes
Emmer,"Emmer, Tom",Minnesota,6th,R,Yes
Escobar,"Escobar, Veronica",Texas,16th,D,Yes
Espaillat,"Espaillat, Adriano",New York,13th,D,Yes
Estes,"Estes, Ron",Kansas,4th,R,Yes
Evans (CO),"Evans, Gabe",Colorado,8th,R,Yes
Evans (PA),"Evans, Dwight",Pennsylvania,3rd,D,Yes
Ezell,"Ezell, Mike",Mississippi,4th,R,Yes
Fallon,"Fallon, Pat",Texas,4th,R,Yes
Fedorchak,"Fedorchak, Julie",North Dakota,At Large,R,Yes
Feenstra,"Feenstra, Randy",Iowa,4th,R,Yes
Fields,"Fields, Cleo",Louisiana,6th,D,Yes
Figures,"Figures, Shomari",Alabama,2nd,D,Yes
Finstad,"Finstad, Brad",Minnesota,1st,R,Yes
Fischbach,"Fischbach, Michelle",Minnesota,7th,R,Yes
Fitzgerald,"Fitzgerald, Scott",Wisconsin,5th,R,Yes
Fitzpatrick,"Fitzpatrick, Brian  K.",Pennsylvania,1st,R,Yes
Fleischmann,"Fleischmann, Charles  J. ""Chuck""",Tennessee,3rd,R,Yes
Fletcher,"Fletcher, Lizzie",Texas,7th,D,Yes
Flood,"Flood, Mike",Nebraska,1st,R,Yes
Fong,"Fong, Vince",California,20th,R,Yes
Foster,"Foster, Bill",Illinois,11th,D,Yes
Foushee,"Foushee, Valerie  P.",North Carolina,4th,D,Yes
Foxx,"Foxx, Virginia",North Carolina,5th,R,Yes
"Frankel, Lois","Frankel, Lois",Florida,22nd,D,Yes
"Franklin, Scott","Franklin, Scott",Florida,18th,R,Yes
Friedman,"Friedman, Laura",California,30th,D,Yes
Frost,"Frost, Maxwell",Florida,10th,D,Yes
Fry,"Fry, Russell",South Carolina,7th,R,Yes
Fulcher,"Fulcher, Russ",Idaho,1st,R,Yes
Garamendi,"Garamendi, John",California,8th,D,Yes
Garbarino,"Garbarino, Andrew  R.",New York,2nd,R,Yes
Garcia (CA),"Garcia, Robert",California,42nd,D,Yes
García (IL),"García, Jesús  G. ""Chuy""",Illinois,4th,D,Yes
Garcia (TX),"Garcia, Sylvia  R.",Texas,29th,D,Yes
Gill (TX),"Gill, Brandon",Texas,26th,R,Yes
Gillen,"Gillen, Laura",New York,4th,D,Yes
Gimenez,"Gimenez, Carlos  A.",Florida,28th,R,Yes
Golden (ME),"Golden, Jared  F.",Maine,2nd,D,Yes
Goldman (NY),"Goldman, Daniel  S.",New York,10th,D,Yes
Goldman (TX),"Goldman, Craig  A.",Texas,12th,R,Yes
Gomez,"Gomez, Jimmy",California,34th,D,Yes
"Gonzales, Tony","Gonzales, Tony",Texas,23rd,R,Yes
"Gonzalez, V.","Gonzalez, Vicente",Texas,34th,D,Yes
Gooden,"Gooden, Lance",Texas,5th,R,Yes
Goodlander,"Goodlander, Maggie",New Hampshire,2nd,D,Yes
Gosar,"Gosar, Paul  A.",Arizona,9th,R,Yes
Gottheimer,"Gottheimer, Josh",New Jersey,5th,D,Not Voting
Graves,"Graves, Sam",Missouri,6th,R,Yes
Gray,"Gray, Adam",California,13th,D,Yes
Green (TN),"Green, Mark  E.",Tennessee,7th,R,Yes
"Green, Al (TX)","Green, Al",Texas,9th,D,Yes
Greene (GA),"Greene, Marjorie  Taylor",Georgia,14th,R,Yes
Griffith,"Griffith, H.  Morgan",Virginia,9th,R,Yes
Grijalva,"Grijalva, Raúl  M.",Arizona,7th,D,Not Voting
Grothman,"Grothman, Glenn",Wisconsin,6th,R,Yes
Guest,"Guest, Michael",Mississippi,3rd,R,Yes
Guthrie,"Guthrie, Brett",Kentucky,2nd,R,Yes
Hageman,"Hageman, Harriet  M.",Wyoming,At Large,R,Yes
Hamadeh (AZ),"Hamadeh, Abraham  J.",Arizona,8th,R,Yes
Harder (CA),"Harder, Josh",California,9th,D,Yes
Haridopolos,"Haridopolos, Mike",Florida,8th,R,Yes
Harrigan,"Harrigan, Pat",North Carolina,10th,R,Yes
Harris (MD),"Harris, Andy",Maryland,1st,R,Yes
Harris (NC),"Harris, Mark",North Carolina,8th,R,Yes
Harshbarger,"Harshbarger, Diana",Tennessee,1st,R,Yes
Hayes,"Hayes, Jahana",Connecticut,5th,D,Yes
Hern (OK),"Hern, Kevin",Oklahoma,1st,R,Yes
Higgins (LA),"Higgins, Clay",Louisiana,3rd,R,Yes
Hill (AR),"Hill, J.  French",Arkansas,2nd,R,Yes
Himes,"Himes, James  A.",Connecticut,4th,D,Yes
Hinson,"Hinson, Ashley",Iowa,2nd,R,Yes
Horsford,"Horsford, Steven",Nevada,4th,D,Yes
Houchin,"Houchin, Erin",Indiana,9th,R,Yes
Houlahan,"Houlahan, Chrissy",Pennsylvania,6th,D,Yes
Hoyer,"Hoyer, Steny  H.",Maryland,5th,D,Yes
Hoyle (OR),"Hoyle, Val  T.",Oregon,4th,D,Yes
Hudson,"Hudson, Richard",North Carolina,9th,R,Yes
Huffman,"Huffman, Jared",California,2nd,D,Yes
Huizenga,"Huizenga, Bill",Michigan,4th,R,Yes
Hunt,"Hunt, Wesley",Texas,38th,R,Yes
Hurd (CO),"Hurd, Jeff",Colorado,3rd,R,Yes
Issa,"Issa, Darrell",California,48th,R,Yes
Ivey,"Ivey, Glenn",Maryland,4th,D,Yes
Jack,"Jack, Brian",Georgia,3rd,R,Yes
Jackson (IL),"Jackson, Jonathan  L.",Illinois,1st,D,Yes
Jackson (TX),"Jackson, Ronny",Texas,13th,R,Yes
Jacobs,"Jacobs, Sara",California,51st,D,Yes
James,"James, John",Michigan,10th,R,Yes
Jayapal,"Jayapal, Pramila",Washington,7th,D,Yes
Jeffries,"Jeffries, Hakeem  S.",New York,8th,D,Yes
Johnson (GA),"Johnson, Henry  C. ""Hank""
 Jr.",Georgia,4th,D,Yes
Johnson (SD),"Johnson, Dusty",South Dakota,At Large,R,Yes
Johnson (TX),"Johnson, Julie",Texas,32nd,D,Yes
Jordan,"Jordan, Jim",Ohio,4th,R,Yes
Joyce (OH),"Joyce, David  P.",Ohio,14th,R,Yes
Joyce (PA),"Joyce, John",Pennsylvania,13th,R,Yes
Kamlager-Dove,"Kamlager-Dove, Sydney",California,37th,D,Yes
Kaptur,"Kaptur, Marcy",Ohio,9th,D,Yes
Kean,"Kean, Thomas  H.
 Jr.",New Jersey,7th,R,Yes
Keating,"Keating, William  R.",Massachusetts,9th,D,Yes
Kelly (IL),"Kelly, Robin  L.",Illinois,2nd,D,Yes
Kelly (MS),"Kelly, Trent",Mississippi,1st,R,Yes
Kelly (PA),"Kelly, Mike",Pennsylvania,16th,R,Yes
Kennedy (NY),"Kennedy, Timothy  M.",New York,26th,D,Yes
Kennedy (UT),"Kennedy, Mike",Utah,3rd,R,Yes
Khanna,"Khanna, Ro",California,17th,D,Yes
Kiggans (VA),"Kiggans, Jennifer  A.",Virginia,2nd,R,Yes
Kiley (CA),"Kiley, Kevin",California,3rd,R,Yes
Kim,"Kim, Young",California,40th,R,Yes
Knott,"Knott, Brad",North Carolina,13th,R,Yes
Krishnamoorthi,"Krishnamoorthi, Raja",Illinois,8th,D,Yes
Kustoff,"Kustoff, David",Tennessee,8th,R,Yes
LaHood,"LaHood, Darin",Illinois,16th,R,Yes
LaLota,"LaLota, Nick",New York,1st,R,Yes
LaMalfa,"LaMalfa, Doug",California,1st,R,Yes
Landsman,"Landsman, Greg",Ohio,1st,D,Yes
Langworthy,"Langworthy, Nicholas  A.",New York,23rd,R,Yes
Larsen (WA),"Larsen, Rick",Washington,2nd,D,Yes
Larson (CT),"Larson, John  B.",Connecticut,1st,D,Yes
Latimer,"Latimer, George",New York,16th,D,Yes
Latta,"Latta, Robert  E.",Ohio,5th,R,Yes
Lawler,"Lawler, Michael",New York,17th,R,Yes
Lee (FL),"Lee, Laurel  M.",Florida,15th,R,Yes
Lee (NV),"Lee, Susie",Nevada,3rd,D,Yes
Lee (PA),"Lee, Summer  L.",Pennsylvania,12th,D,Yes
Leger Fernandez,"Leger Fernandez, Teresa",New Mexico,3rd,D,Yes
Letlow,"Letlow, Julia",Louisiana,5th,R,Yes
Levin,"Levin, Mike",California,49th,D,Yes
Liccardo,"Liccardo, Sam  T.",California,16th,D,Yes
Lieu,"Lieu, Ted",California,36th,D,Yes
Lofgren,"Lofgren, Zoe",California,18th,D,Yes
Loudermilk,"Loudermilk, Barry",Georgia,11th,R,Yes
Lucas,"Lucas, Frank  D.",Oklahoma,3rd,R,Yes
Luna,"Luna, Anna Paulina",Florida,13th,R,Yes
Luttrell,"Luttrell, Morgan",Texas,8th,R,Yes
Lynch,"Lynch, Stephen  F.",Massachusetts,8th,D,Yes
Mace,"Mace, Nancy",South Carolina,1st,R,Yes
Mackenzie,"Mackenzie, Ryan",Pennsylvania,7th,R,Yes
Magaziner,"Magaziner, Seth",Rhode Island,2nd,D,Yes
Malliotakis,"Malliotakis, Nicole",New York,11th,R,Yes
Maloy,"Maloy, Celeste",Utah,2nd,R,Yes
Mann,"Mann, Tracey",Kansas,1st,R,Yes
Mannion,"Mannion, John  W.",New York,22nd,D,Yes
Massie,"Massie, Thomas",Kentucky,4th,R,No
Mast,"Mast, Brian  J.",Florida,21st,R,Yes
Matsui,"Matsui, Doris  O.",California,7th,D,Yes
McBath,"McBath, Lucy",Georgia,6th,D,Yes
McBride,"McBride, Sarah",Delaware,At Large,D,Yes
McCaul,"McCaul, Michael  T.",Texas,10th,R,Yes
McClain,"McClain, Lisa  C.",Michigan,9th,R,Not Voting
McClain Delaney,"McClain Delaney, April",Maryland,6th,D,Yes
McClellan,"McClellan, Jennifer  L.",Virginia,4th,D,Yes
McClintock,"McClintock, Tom",California,5th,R,Yes
McCollum,"McCollum, Betty",Minnesota,4th,D,Yes
McCormick,"McCormick, Richard",Georgia,7th,R,Yes
McDonald Rivet,"McDonald Rivet, Kristen",Michigan,8th,D,Yes
McDowell,"McDowell, Addison  P.",North Carolina,6th,R,Yes
McGarvey,"McGarvey, Morgan",Kentucky,3rd,D,Yes
McGovern,"McGovern, James  P.",Massachusetts,2nd,D,Yes
McGuire,"McGuire, John  J.
 III",Virginia,5th,R,Yes
McIver,"McIver, LaMonica",New Jersey,10th,D,Yes
Meeks,"Meeks, Gregory  W.",New York,5th,D,Yes
Menendez,"Menendez, Robert",New Jersey,8th,D,Yes
Meng,"Meng, Grace",New York,6th,D,Yes
Messmer,"Messmer, Mark  B.",Indiana,8th,R,Yes
Meuser,"Meuser, Daniel",Pennsylvania,9th,R,Yes
Mfume,"Mfume, Kweisi",Maryland,7th,D,Yes
Miller (IL),"Miller, Mary  E.",Illinois,15th,R,Yes
Miller (OH),"Miller, Max  L.",Ohio,7th,R,Yes
Miller (WV),"Miller, Carol  D.",West Virginia,1st,R,Yes
Miller-Meeks,"Miller-Meeks, Mariannette",Iowa,1st,R,Yes
Mills,"Mills, Cory",Florida,7th,R,Yes
Min,"Min, Dave",California,47th,D,Yes
Moolenaar,"Moolenaar, John  R.",Michigan,2nd,R,Yes
Moore (AL),"Moore, Barry",Alabama,1st,R,Yes
Moore (NC),"Moore, Tim",North Carolina,14th,R,Yes
Moore (UT),"Moore, Blake  D.",Utah,1st,R,Yes
Moore (WI),"Moore, Gwen",Wisconsin,4th,D,Yes
Moore (WV),"Moore, Riley  M.",West Virginia,2nd,R,Yes
Moran,"Moran, Nathaniel",Texas,1st,R,Yes
Morelle,"Morelle, Joseph  D.",New York,25th,D,Yes
Morrison,"Morrison, Kelly",Minnesota,3rd,D,Yes
Moskowitz,"Moskowitz, Jared",Florida,23rd,D,Yes
Moulton,"Moulton, Seth",Massachusetts,6th,D,Yes
Mrvan,"Mrvan, Frank  J.",Indiana,1st,D,Yes
Mullin,"Mullin, Kevin",California,15th,D,Yes
Murphy,"Murphy, Gregory  F.",North Carolina,3rd,R,Yes
Nadler,"Nadler, Jerrold",New York,12th,D,Yes
Neal,"Neal, Richard  E.",Massachusetts,1st,D,Yes
Neguse,"Neguse, Joe",Colorado,2nd,D,Yes
Nehls,"Nehls, Troy  E.",Texas,22nd,R,Yes
Newhouse,"Newhouse, Dan",Washington,4th,R,Yes
Norcross,"Norcross, Donald",New Jersey,1st,D,Yes
Norman,"Norman, Ralph",South Carolina,5th,R,Yes
Nunn (IA),"Nunn, Zachary",Iowa,3rd,R,Yes
Obernolte,"Obernolte, Jay",California,23rd,R,Yes
Ocasio-Cortez,"Ocasio-Cortez, Alexandria",New York,14th,D,Yes
Ogles,"Ogles, Andrew",Tennessee,5th,R,Yes
Olszewski,"Olszewski, Johnny  
 Jr.",Maryland,2nd,D,Yes
Omar,"Omar, Ilhan",Minnesota,5th,D,Yes
Onder,"Onder, Robert  F.
 Jr.",Missouri,3rd,R,Yes
Owens,"Owens, Burgess",Utah,4th,R,Yes
Pallone,"Pallone, Frank  
 Jr.",New Jersey,6th,D,Yes
Palmer,"Palmer, Gary  J.",Alabama,6th,R,Yes
Panetta,"Panetta, Jimmy",California,19th,D,Yes
Pappas,"Pappas, Chris",New Hampshire,1st,D,Yes
Pelosi,"Pelosi, Nancy",California,11th,D,Not Voting
Perez,"Perez, Marie  Gluesenkamp",Washington,3rd,D,Yes
Perry,"Perry, Scott",Pennsylvania,10th,R,Yes
Peters,"Peters, Scott  H.",California,50th,D,Yes
Pettersen,"Pettersen, Brittany",Colorado,7th,D,Not Voting
Pfluger,"Pfluger, August",Texas,11th,R,Yes
Pingree,"Pingree, Chellie",Maine,1st,D,Yes
Pocan,"Pocan, Mark",Wisconsin,2nd,D,Yes
Pou,"Pou, Nellie",New Jersey,9th,D,Yes
Pressley,"Pressley, Ayanna",Massachusetts,7th,D,Yes
Quigley,"Quigley, Mike",Illinois,5th,D,Yes
Ramirez,"Ramirez, Delia  C.",Illinois,3rd,D,Yes
Randall,"Randall, Emily",Washington,6th,D,Yes
Raskin,"Raskin, Jamie",Maryland,8th,D,Yes
Reschenthaler,"Reschenthaler, Guy",Pennsylvania,14th,R,Yes
Riley (NY),"Riley, Josh",New York,19th,D,Yes
Rivas,"Rivas, Luz  M.",California,29th,D,Yes
Rogers (AL),"Rogers, Mike",Alabama,3rd,R,Yes
Rogers (KY),"Rogers, Harold",Kentucky,5th,R,Yes
Rose,"Rose, John  W.",Tennessee,6th,R,Yes
Ross,"Ross, Deborah  K.",North Carolina,2nd,D,Yes
Rouzer,"Rouzer, David",North Carolina,7th,R,Yes
Roy,"Roy, Chip",Texas,21st,R,Yes
Ruiz,"Ruiz, Raul",California,25th,D,Yes
Rulli,"Rulli, Michael  A.",Ohio,6th,R,Yes
Rutherford,"Rutherford, John  H.",Florida,5th,R,Yes
Ryan,"Ryan, Patrick",New York,18th,D,Yes
Salazar,"Salazar, Maria  Elvira",Florida,27th,R,Yes
Salinas,"Salinas, Andrea",Oregon,6th,D,Yes
Sánchez,"Sánchez, Linda  T.",California,38th,D,Yes
Scalise,"Scalise, Steve",Louisiana,1st,R,Not Voting
Scanlon,"Scanlon, Mary Gay",Pennsylvania,5th,D,Yes
Schakowsky,"Schakowsky, Janice  D.",Illinois,9th,D,Yes
Schmidt,"Schmidt, Derek",Kansas,2nd,R,Yes
Schneider,"Schneider, Bradley  Scott",Illinois,10th,D,Yes
Scholten,"Scholten, Hillary  J.",Michigan,3rd,D,Yes
Schrier,"Schrier, Kim",Washington,8th,D,Yes
Schweikert,"Schweikert, David",Arizona,1st,R,Yes
Scott (VA),"Scott, Robert  C. ""Bobby""",Virginia,3rd,D,Yes
"Scott, Austin","Scott, Austin",Georgia,8th,R,Yes
"Scott, David","Scott, David",Georgia,13th,D,Yes
Self,"Self, Keith",Texas,3rd,R,Yes
Sessions,"Sessions, Pete",Texas,17th,R,Yes
Sewell,"Sewell, Terri  A.",Alabama,7th,D,Yes
Sherman,"Sherman, Brad",California,32nd,D,Not Voting
Sherrill,"Sherrill, Mikie",New Jersey,11th,D,Yes
Shreve,"Shreve, Jefferson",Indiana,6th,R,Yes
Simon,"Simon, Lateefah",California,12th,D,Yes
Simpson,"Simpson, Michael  K.",Idaho,2nd,R,Yes
Smith (MO),"Smith, Jason",Missouri,8th,R,Yes
Smith (NE),"Smith, Adrian",Nebraska,3rd,R,Yes
Smith (NJ),"Smith, Christopher  H.",New Jersey,4th,R,Yes
Smith (WA),"Smith, Adam",Washington,9th,D,Yes
Smucker,"Smucker, Lloyd",Pennsylvania,11th,R,Yes
Sorensen,"Sorensen, Eric",Illinois,17th,D,Yes
Soto,"Soto, Darren",Florida,9th,D,Yes
Spartz,"Spartz, Victoria",Indiana,5th,R,Yes
Stansbury,"Stansbury, Melanie  A.",New Mexico,1st,D,Yes
Stanton,"Stanton, Greg",Arizona,4th,D,Yes
Stauber,"Stauber, Pete",Minnesota,8th,R,Yes
Stefanik,"Stefanik, Elise  M.",New York,21st,R,Yes
Steil,"Steil, Bryan",Wisconsin,1st,R,Yes
Steube,"Steube, W.  Gregory",Florida,17th,R,Yes
Stevens,"Stevens, Haley  M.",Michigan,11th,D,Yes
Strickland,"Strickland, Marilyn",Washington,10th,D,Yes
Strong,"Strong, Dale  W.",Alabama,5th,R,Yes
Stutzman,"Stutzman, Marlin  A.",Indiana,3rd,R,Yes
Subramanyam,"Subramanyam, Suhas",Virginia,10th,D,Yes
Suozzi,"Suozzi, Thomas  R.",New York,3rd,D,Yes
Swalwell,"Swalwell, Eric",California,14th,D,Yes
Sykes,"Sykes, Emilia  Strong",Ohio,13th,D,Yes
Takano,"Takano, Mark",California,39th,D,Yes
Taylor,"Taylor, David  J.",Ohio,2nd,R,Yes
Tenney,"Tenney, Claudia",New York,24th,R,Yes
Thanedar,"Thanedar, Shri",Michigan,13th,D,Yes
Thompson (CA),"Thompson, Mike",California,4th,D,Yes
Thompson (MS),"Thompson, Bennie  G.",Mississippi,2nd,D,Yes
Thompson (PA),"Thompson, Glenn",Pennsylvania,15th,R,Yes
Tiffany,"Tiffany, Thomas  P.",Wisconsin,7th,R,Yes
Timmons,"Timmons, William  R.
 IV",South Carolina,4th,R,Yes
Titus,"Titus, Dina",Nevada,1st,D,Yes
Tlaib,"Tlaib, Rashida",Michigan,12th,D,Yes
Tokuda,"Tokuda, Jill  N.",Hawaii,2nd,D,Yes
Tonko,"Tonko, Paul",New York,20th,D,Yes
Torres (CA),"Torres, Norma  J.",California,35th,D,Yes
Torres (NY),"Torres, Ritchie",New York,15th,D,Yes
Trahan,"Trahan, Lori",Massachusetts,3rd,D,Yes
Tran,"Tran, Derek",California,45th,D,Yes
Turner (OH),"Turner, Michael  R.",Ohio,10th,R,Not Voting
Turner (TX),"Turner, Sylvester",Texas,18th,D,Yes
Underwood,"Underwood, Lauren",Illinois,14th,D,Yes
Valadao,"Valadao, David  G.",California,22nd,R,Yes
Van Drew,"Van Drew, Jefferson",New Jersey,2nd,R,Yes
Van Duyne,"Van Duyne, Beth",Texas,24th,R,Yes
Van Orden,"Van Orden, Derrick",Wisconsin,3rd,R,Yes
Vargas,"Vargas, Juan",California,52nd,D,Yes
Vasquez,"Vasquez, Gabe",New Mexico,2nd,D,Yes
Veasey,"Veasey, Marc  A.",Texas,33rd,D,Yes
Velázquez,"Velázquez, Nydia  M.",New York,7th,D,Yes
Vindman,"Vindman, Eugene  Simon",Virginia,7th,D,Yes
Wagner,"Wagner, Ann",Missouri,2nd,R,Yes
Walberg,"Walberg, Tim",Michigan,5th,R,Yes
Waltz,Waltz,Florida,,R,Not Voting
Wasserman Schultz,"Wasserman Schultz, Debbie",Florida,25th,D,Yes
Waters,"Waters, Maxine",California,43rd,D,Yes
Watson Coleman,"Watson Coleman, Bonnie",New Jersey,12th,D,Yes
Weber (TX),"Weber, Randy  K.
 Sr.",Texas,14th,R,Yes
Webster (FL),"Webster, Daniel",Florida,11th,R,Yes
Westerman,"Westerman, Bruce",Arkansas,4th,R,Yes
Whitesides,"Whitesides, George",California,27th,D,Yes
Wied,"Wied, Tony",Wisconsin,8th,R,Yes
Williams (GA),"Williams, Nikema",Georgia,5th,D,Yes
Williams (TX),"Williams, Roger",Texas,25th,R,Yes
Wilson (FL),"Wilson, Frederica  S.",Florida,24th,D,Yes
Wilson (SC),"Wilson, Joe",South Carolina,2nd,R,Yes
Wittman,"Wittman, Robert  J.",Virginia,1st,R,Yes
Womack,"Womack, Steve",Arkansas,3rd,R,Yes
Yakym,"Yakym, Rudy  
 III",Indiana,2nd,R,Yes
Zinke,"Zinke, Ryan  K.",Montana,1st,R,Yes
